# Registered KRName IVSes & 270 Standardized Variants (Unicode 6.3)
# Version 2018-07-19
# Prepared by Dr. Ken Lunde (lunde@adobe.com), Adobe Systems Incorporated
# 36 KRName IVSes
537F E0108; KRName; CID+14670
83F1 FE00; Standardized_Variants; CID+17677
9675 FE00; Standardized_Variants; CID+18537
8B80 FE00; Standardized_Variants; CID+18056
62CF FE00; Standardized_Variants; CID+15618
6A02 FE01; Standardized_Variants; CID+16117
8AFE FE00; Standardized_Variants; CID+18022
4E39 FE00; Standardized_Variants; CID+14257
5BE7 FE00; Standardized_Variants; CID+15141
6012 FE00; Standardized_Variants; CID+15415
7387 FE00; Standardized_Variants; CID+16707
7570 FE00; Standardized_Variants; CID+16864
5317 FE00; Standardized_Variants; CID+14634
78FB FE00; Standardized_Variants; CID+17043
4FBF FE00; Standardized_Variants; CID+14383
5FA9 FE00; Standardized_Variants; CID+15394
4E0D FE00; Standardized_Variants; CID+14246
6CCC FE00; Standardized_Variants; CID+16283
6578 FE00; Standardized_Variants; CID+15778
7D22 FE00; Standardized_Variants; CID+17278
53C3 FE00; Standardized_Variants; CID+14681
585E FE00; Standardized_Variants; CID+14916
7701 FE00; Standardized_Variants; CID+16961
8449 FE00; Standardized_Variants; CID+17693
8AAA FE00; Standardized_Variants; CID+17993
6BBA FE00; Standardized_Variants; CID+16203
8FB0 FE00; Standardized_Variants; CID+18234
6C88 FE00; Standardized_Variants; CID+16257
62FE FE00; Standardized_Variants; CID+15636
82E5 FE00; Standardized_Variants; CID+17622
63A0 FE00; Standardized_Variants; CID+15669
7565 FE00; Standardized_Variants; CID+16860
4EAE FE00; Standardized_Variants; CID+14301
5169 FE00; Standardized_Variants; CID+14503
51C9 FE00; Standardized_Variants; CID+14531
6881 FE00; Standardized_Variants; CID+16031
7CE7 FE00; Standardized_Variants; CID+17256
826F FE00; Standardized_Variants; CID+17583
8AD2 FE00; Standardized_Variants; CID+18006
91CF FE00; Standardized_Variants; CID+18384
52F5 FE00; Standardized_Variants; CID+14621
5442 FE00; Standardized_Variants; CID+14731
5973 FE00; Standardized_Variants; CID+14994
5EEC FE00; Standardized_Variants; CID+15330
65C5 FE00; Standardized_Variants; CID+15805
6FFE FE00; Standardized_Variants; CID+16506
792A FE00; Standardized_Variants; CID+17047
95AD FE00; Standardized_Variants; CID+18500
9A6A FE00; Standardized_Variants; CID+18744
9E97 FE00; Standardized_Variants; CID+18819
9ECE FE00; Standardized_Variants; CID+18829
529B FE00; Standardized_Variants; CID+14593
66C6 FE00; Standardized_Variants; CID+15901
6B77 FE00; Standardized_Variants; CID+16186
8F62 FE00; Standardized_Variants; CID+18226
5E74 FE00; Standardized_Variants; CID+15291
6190 FE00; Standardized_Variants; CID+15529
6200 FE00; Standardized_Variants; CID+15559
649A FE00; Standardized_Variants; CID+15713
6F23 FE00; Standardized_Variants; CID+16448
7149 FE00; Standardized_Variants; CID+16577
7489 FE00; Standardized_Variants; CID+16797
79CA FE00; Standardized_Variants; CID+17089
7DF4 FE00; Standardized_Variants; CID+17340
806F FE00; Standardized_Variants; CID+17451
8F26 FE00; Standardized_Variants; CID+18208
84EE FE00; Standardized_Variants; CID+17724
9023 FE00; Standardized_Variants; CID+18274
934A FE00; Standardized_Variants; CID+18449
5217 FE00; Standardized_Variants; CID+14554
52A3 FE00; Standardized_Variants; CID+14596
54BD FE00; Standardized_Variants; CID+14754
70C8 FE00; Standardized_Variants; CID+16556
88C2 FE00; Standardized_Variants; CID+17885
8AAA FE01; Standardized_Variants; CID+17993
5EC9 FE00; Standardized_Variants; CID+15319
5FF5 FE00; Standardized_Variants; CID+15411
637B FE00; Standardized_Variants; CID+15659
6BAE FE00; Standardized_Variants; CID+16198
7C3E FE00; Standardized_Variants; CID+17227
7375 FE00; Standardized_Variants; CID+16701
4EE4 FE00; Standardized_Variants; CID+14320
56F9 FE00; Standardized_Variants; CID+14838
5BE7 FE01; Standardized_Variants; CID+15141
5DBA FE00; Standardized_Variants; CID+15239
601C FE00; Standardized_Variants; CID+15417
73B2 FE00; Standardized_Variants; CID+16719
7469 FE00; Standardized_Variants; CID+16790
7F9A FE00; Standardized_Variants; CID+17403
8046 FE00; Standardized_Variants; CID+17445
9234 FE00; Standardized_Variants; CID+18401
96F6 FE00; Standardized_Variants; CID+18585
9748 FE00; Standardized_Variants; CID+18605
9818 FE00; Standardized_Variants; CID+18646
4F8B FE00; Standardized_Variants; CID+14371
79AE FE00; Standardized_Variants; CID+17079
91B4 FE00; Standardized_Variants; CID+18375
96B8 FE00; Standardized_Variants; CID+21995
60E1 FE00; Standardized_Variants; CID+15474
4E86 FE00; Standardized_Variants; CID+14279
50DA FE00; Standardized_Variants; CID+14463
5BEE FE00; Standardized_Variants; CID+15146
5C3F FE00; Standardized_Variants; CID+15174
6599 FE00; Standardized_Variants; CID+15788
6A02 FE02; Standardized_Variants; CID+16117
71CE FE00; Standardized_Variants; CID+16612
7642 FE00; Standardized_Variants; CID+16915
84FC FE00; Standardized_Variants; CID+17726
907C FE00; Standardized_Variants; CID+18310
9F8D FE00; Standardized_Variants; CID+18854
6688 FE00; Standardized_Variants; CID+15881
962E FE00; Standardized_Variants; CID+18515
5289 FE00; Standardized_Variants; CID+14589
677B FE00; Standardized_Variants; CID+15965
67F3 FE00; Standardized_Variants; CID+16000
6D41 FE00; Standardized_Variants; CID+16317
6E9C FE00; Standardized_Variants; CID+16413
7409 FE00; Standardized_Variants; CID+16750
7559 FE00; Standardized_Variants; CID+16855
786B FE00; Standardized_Variants; CID+17016
7D10 FE00; Standardized_Variants; CID+17269
985E FE00; Standardized_Variants; CID+18659
516D FE00; Standardized_Variants; CID+14507
622E FE00; Standardized_Variants; CID+15574
9678 FE00; Standardized_Variants; CID+18540
502B FE00; Standardized_Variants; CID+14426
5D19 FE00; Standardized_Variants; CID+15223
6DEA FE00; Standardized_Variants; CID+16360
8F2A FE00; Standardized_Variants; CID+18211
5F8B FE00; Standardized_Variants; CID+15382
6144 FE00; Standardized_Variants; CID+15501
6817 FE00; Standardized_Variants; CID+16009
7387 FE01; Standardized_Variants; CID+16707
9686 FE00; Standardized_Variants; CID+18543
5229 FE00; Standardized_Variants; CID+14558
540F FE00; Standardized_Variants; CID+14715
5C65 FE00; Standardized_Variants; CID+15188
6613 FE00; Standardized_Variants; CID+15835
674E FE00; Standardized_Variants; CID+15949
68A8 FE00; Standardized_Variants; CID+16042
6CE5 FE00; Standardized_Variants; CID+16291
7406 FE00; Standardized_Variants; CID+16748
75E2 FE00; Standardized_Variants; CID+16899
7F79 FE00; Standardized_Variants; CID+17396
88CF FE00; Standardized_Variants; CID+17886
88E1 FE00; Standardized_Variants; CID+17893
91CC FE00; Standardized_Variants; CID+18381
96E2 FE00; Standardized_Variants; CID+18577
533F FE00; Standardized_Variants; CID+14642
6EBA FE00; Standardized_Variants; CID+16423
541D FE00; Standardized_Variants; CID+14719
71D0 FE00; Standardized_Variants; CID+16613
7498 FE00; Standardized_Variants; CID+16799
85FA FE00; Standardized_Variants; CID+17779
96A3 FE00; Standardized_Variants; CID+18554
9C57 FE00; Standardized_Variants; CID+18784
9E9F FE00; Standardized_Variants; CID+18821
6797 FE00; Standardized_Variants; CID+15975
6DCB FE00; Standardized_Variants; CID+16351
81E8 FE00; Standardized_Variants; CID+17548
7ACB FE00; Standardized_Variants; CID+17155
7B20 FE00; Standardized_Variants; CID+17175
7C92 FE00; Standardized_Variants; CID+17238
72C0 FE00; Standardized_Variants; CID+16666
7099 FE00; Standardized_Variants; CID+16544
8B58 FE00; Standardized_Variants; CID+18046
4EC0 FE00; Standardized_Variants; CID+14304
8336 FE00; Standardized_Variants; CID+17641
523A FE00; Standardized_Variants; CID+14566
5207 FE00; Standardized_Variants; CID+14549
5EA6 FE00; Standardized_Variants; CID+15308
62D3 FE00; Standardized_Variants; CID+15621
7CD6 FE00; Standardized_Variants; CID+17252
5B85 FE00; Standardized_Variants; CID+15090
6D1E FE00; Standardized_Variants; CID+16304
66B4 FE00; Standardized_Variants; CID+15896
8F3B FE00; Standardized_Variants; CID+18216
884C FE00; Standardized_Variants; CID+17855
964D FE00; Standardized_Variants; CID+18524
898B FE00; Standardized_Variants; CID+17922
5ED3 FE00; Standardized_Variants; CID+15322
90DE FE00; Standardized_Variants; CID+18337
96B7 FE00; Standardized_Variants; CID+18559
# EOF
